LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
8m21s       Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
5m16s       Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
5m16s       Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
5m15s       Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.792s (1.792s including waiting). Image size: 5766525 bytes.
5m15s       Normal    Created     pod/consumer-svc                             Created container: consumer
5m15s       Normal    Started     pod/consumer-svc                             Started container consumer
2m56s       Normal    Killing     pod/consumer-svc                             Stopping container consumer
2m21s       Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
2m21s       Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
2m20s       Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.625s (1.625s including waiting). Image size: 5766525 bytes.
2m19s       Normal    Created     pod/consumer-svc                             Created container: consumer
2m19s       Normal    Started     pod/consumer-svc                             Started container consumer
113m        Normal    Pulling     pod/consumer                                 Pulling image "ssoonan0770/jitter-consumer:latest"
113m        Normal    Pulled      pod/consumer                                 Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.787s (1.787s including waiting). Image size: 6025303 bytes.
113m        Normal    Created     pod/consumer                                 Created container: consumer
113m        Normal    Started     pod/consumer                                 Started container consumer
112m        Normal    Killing     pod/consumer                                 Stopping container consumer
53m         Normal    Scheduled   pod/consumer                                 Successfully assigned default/consumer to raspberrypi
57m         Normal    Scheduled   pod/iperf3-client-quick                      Successfully assigned default/iperf3-client-quick to rubikpi
56m         Normal    Pulling     pod/iperf3-client-quick                      Pulling image "networkstatic/iperf3:latest"
57m         Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.591s (1.591s including waiting). Image size: 30809528 bytes.
56m         Normal    Created     pod/iperf3-client-quick                      Created container: iperf3
56m         Normal    Started     pod/iperf3-client-quick                      Started container iperf3
