LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
115m        Normal    Pulling     pod/iperf3-client-quick                      Pulling image "networkstatic/iperf3:latest"
116m        Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.618s (1.618s including waiting). Image size: 30809528 bytes.
115m        Normal    Created     pod/iperf3-client-quick                      Created container: iperf3
115m        Normal    Started     pod/iperf3-client-quick                      Started container iperf3
116m        Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.645s (1.645s including waiting). Image size: 30809528 bytes.
115m        Warning   BackOff     pod/iperf3-client-quick                      Back-off restarting failed container iperf3 in pod iperf3-client-quick_default(34cad53b-01ef-497c-a9cc-6b77f25b5344)
115m        Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.697s (1.697s including waiting). Image size: 30809528 bytes.
115m        Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.705s (1.705s including waiting). Image size: 30809528 bytes.
115m        Normal    Killing     pod/iperf3-client-quick                      Stopping container iperf3
109m        Normal    Pulling     pod/iperf3-client-quick                      Pulling image "networkstatic/iperf3:latest"
110m        Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.674s (1.675s including waiting). Image size: 30809528 bytes.
109m        Normal    Created     pod/iperf3-client-quick                      Created container: iperf3
109m        Normal    Started     pod/iperf3-client-quick                      Started container iperf3
110m        Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.63s (1.63s including waiting). Image size: 30809528 bytes.
109m        Warning   BackOff     pod/iperf3-client-quick                      Back-off restarting failed container iperf3 in pod iperf3-client-quick_default(2213aebb-09d1-4d0d-8300-046ad20cd64f)
110m        Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.61s (1.61s including waiting). Image size: 30809528 bytes.
109m        Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.664s (1.664s including waiting). Image size: 30809528 bytes.
109m        Normal    Killing     pod/iperf3-client-quick                      Stopping container iperf3
56m         Normal    Scheduled   pod/iperf3-client-quick                      Successfully assigned default/iperf3-client-quick to raspberrypi
50m         Normal    Scheduled   pod/iperf3-client-quick                      Successfully assigned default/iperf3-client-quick to raspberrypi
44m         Normal    Scheduled   pod/iperf3-client-quick                      Successfully assigned default/iperf3-client-quick to rubikpi
43m         Normal    Pulling     pod/iperf3-client-quick                      Pulling image "networkstatic/iperf3:latest"
44m         Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.591s (1.591s including waiting). Image size: 30809528 bytes.
43m         Normal    Created     pod/iperf3-client-quick                      Created container: iperf3
43m         Normal    Started     pod/iperf3-client-quick                      Started container iperf3
44m         Normal    Pulled      pod/iperf3-client-quick                      Successfully pulled image "networkstatic/iperf3:latest" in 1.515s (1.515s including waiting). Image size: 30809528 bytes.
43m         Warning   BackOff     pod/iperf3-client-quick                      Back-off restarting failed container iperf3 in pod iperf3-client-quick_default(dccefd02-d88b-4f20-80c1-8d49c23b940c)
